d,num_groups,b_mla,m_per_group,matrix_idx,tp,m,n,k,time_us,throughput_TFLOPS,bandwidth_GBps
288,1,128,512,7,1,512,4096,7168,52,576,713
288,1,128,512,8,1,512,7168,2048,27,576,884
288,1,256,1024,7,1,1024,4096,7168,104,576,432
288,1,256,1024,8,1,1024,7168,2048,53,576,603
16,18,32,4,7,1,4,4096,7168,385,11,1373
16,18,32,4,8,1,4,7168,2048,196,11,1358
16,18,64,8,7,1,8,4096,7168,399,21,1328
16,18,64,8,8,1,8,7168,2048,201,21,1325
16,18,128,16,7,1,16,4096,7168,396,43,1349
16,18,128,16,8,1,16,7168,2048,198,43,1363
24,12,16,4,7,1,4,4096,7168,259,11,1364
24,12,16,4,8,1,4,7168,2048,130,11,1356
24,12,32,8,7,1,8,4096,7168,268,21,1325
24,12,32,8,8,1,8,7168,2048,130,22,1373
24,12,64,16,7,1,16,4096,7168,262,43,1355
24,12,64,16,8,1,16,7168,2048,131,43,1363
24,12,128,32,7,1,32,4096,7168,266,85,1347
24,12,128,32,8,1,32,7168,2048,135,84,1355
32,9,16,4,7,1,4,4096,7168,189,11,1403
32,9,16,4,8,1,4,7168,2048,93,11,1411
32,9,32,8,7,1,8,4096,7168,201,21,1328
32,9,32,8,8,1,8,7168,2048,100,21,1328
32,9,64,16,7,1,16,4096,7168,196,43,1353
32,9,64,16,8,1,16,7168,2048,100,42,1336
32,9,128,32,7,1,32,4096,7168,198,85,1353
32,9,128,32,8,1,32,7168,2048,102,83,1347
32,9,256,64,7,1,64,4096,7168,202,167,1349
32,9,256,64,8,1,64,7168,2048,106,161,1348
48,6,8,4,7,1,4,4096,7168,129,11,1376
48,6,8,4,8,1,4,7168,2048,64,11,1380
48,6,16,8,7,1,8,4096,7168,129,22,1375
48,6,16,8,8,1,8,7168,2048,66,22,1372
48,6,32,16,7,1,16,4096,7168,132,43,1351
48,6,32,16,8,1,16,7168,2048,66,42,1342
48,6,64,32,7,1,32,4096,7168,133,85,1351
48,6,64,32,8,1,32,7168,2048,68,83,1346
48,6,128,64,7,1,64,4096,7168,135,167,1347
48,6,128,64,8,1,64,7168,2048,70,161,1348
48,6,256,128,7,1,128,4096,7168,140,324,1350
48,6,256,128,8,1,128,7168,2048,74,302,1349
72,4,8,4,7,1,4,4096,7168,87,11,1347
72,4,8,4,8,1,4,7168,2048,42,11,1407
72,4,16,8,7,1,8,4096,7168,89,21,1326
72,4,16,8,8,1,8,7168,2048,43,22,1378
72,4,32,16,7,1,16,4096,7168,87,43,1353
72,4,32,16,8,1,16,7168,2048,45,43,1361
72,4,64,32,7,1,32,4096,7168,88,85,1354
72,4,64,32,8,1,32,7168,2048,45,83,1343
72,4,128,64,7,1,64,4096,7168,90,167,1347
72,4,128,64,8,1,64,7168,2048,46,161,1350
72,4,256,128,7,1,128,4096,7168,93,324,1350
72,4,256,128,8,1,128,7168,2048,50,303,1352
96,3,8,8,7,1,8,4096,7168,64,22,1370
96,3,8,8,8,1,8,7168,2048,34,21,1339
96,3,16,16,7,1,16,4096,7168,65,43,1361
96,3,16,16,8,1,16,7168,2048,34,42,1337
96,3,32,32,7,1,32,4096,7168,67,85,1348
96,3,32,32,8,1,32,7168,2048,34,83,1347
96,3,64,64,7,1,64,4096,7168,67,167,1350
96,3,64,64,8,1,64,7168,2048,34,161,1347
96,3,128,128,7,1,128,4096,7168,70,324,1351
96,3,128,128,8,1,128,7168,2048,37,303,1352
96,3,256,256,7,1,256,4096,7168,79,576,1275
96,3,256,256,8,1,256,7168,2048,42,538,1351
144,2,8,8,7,1,8,4096,7168,43,22,1366
144,2,8,8,8,1,8,7168,2048,23,21,1336
144,2,16,16,7,1,16,4096,7168,44,43,1362
144,2,16,16,8,1,16,7168,2048,23,42,1343
144,2,32,32,7,1,32,4096,7168,44,85,1353
144,2,32,32,8,1,32,7168,2048,23,83,1345
144,2,64,64,7,1,64,4096,7168,45,167,1350
144,2,64,64,8,1,64,7168,2048,24,162,1354
144,2,128,128,7,1,128,4096,7168,47,324,1350
144,2,128,128,8,1,128,7168,2048,25,303,1352
144,2,256,256,7,1,256,4096,7168,52,576,1276
144,2,256,256,8,1,256,7168,2048,28,538,1351
288,1,8,16,7,1,16,4096,7168,22,43,1355
288,1,8,16,8,1,16,7168,2048,12,43,1365
288,1,16,32,7,1,32,4096,7168,22,85,1347
288,1,16,32,8,1,32,7168,2048,12,83,1344
288,1,32,64,7,1,64,4096,7168,23,167,1349
288,1,32,64,8,1,64,7168,2048,11,161,1346
288,1,64,128,7,1,128,4096,7168,24,324,1351
288,1,64,128,8,1,128,7168,2048,13,302,1350
288,1,128,256,7,1,256,4096,7168,26,576,1276
288,1,128,256,8,1,256,7168,2048,13,537,1349
288,1,256,512,7,1,512,4096,7168,52,576,713
288,1,256,512,8,1,512,7168,2048,27,576,884
16,18,64,4,7,1,4,4096,7168,385,11,1379
16,18,64,4,8,1,4,7168,2048,196,11,1354
16,18,128,8,7,1,8,4096,7168,399,21,1328
16,18,128,8,8,1,8,7168,2048,201,21,1329
24,12,32,4,7,1,4,4096,7168,259,11,1366
24,12,32,4,8,1,4,7168,2048,130,11,1362
24,12,64,8,7,1,8,4096,7168,268,21,1325
24,12,64,8,8,1,8,7168,2048,130,22,1379
24,12,128,16,7,1,16,4096,7168,262,43,1353
24,12,128,16,8,1,16,7168,2048,131,43,1362
32,9,32,4,7,1,4,4096,7168,191,11,1392
32,9,32,4,8,1,4,7168,2048,93,11,1413
32,9,64,8,7,1,8,4096,7168,201,21,1324
32,9,64,8,8,1,8,7168,2048,100,21,1328
32,9,128,16,7,1,16,4096,7168,196,43,1351
32,9,128,16,8,1,16,7168,2048,100,42,1336
32,9,256,32,7,1,32,4096,7168,198,85,1354
32,9,256,32,8,1,32,7168,2048,102,83,1346
48,6,16,4,7,1,4,4096,7168,127,11,1383
48,6,16,4,8,1,4,7168,2048,64,11,1371
48,6,32,8,7,1,8,4096,7168,129,22,1380
48,6,32,8,8,1,8,7168,2048,64,22,1375
48,6,64,16,7,1,16,4096,7168,132,43,1354
48,6,64,16,8,1,16,7168,2048,66,42,1344
48,6,128,32,7,1,32,4096,7168,133,85,1350
48,6,128,32,8,1,32,7168,2048,68,83,1345
48,6,256,64,7,1,64,4096,7168,135,167,1348
48,6,256,64,8,1,64,7168,2048,69,161,1349
72,4,16,4,7,1,4,4096,7168,87,11,1355
72,4,16,4,8,1,4,7168,2048,42,11,1391
72,4,32,8,7,1,8,4096,7168,89,21,1333
72,4,32,8,8,1,8,7168,2048,44,21,1335
72,4,64,16,7,1,16,4096,7168,87,43,1351
72,4,64,16,8,1,16,7168,2048,45,43,1361
72,4,128,32,7,1,32,4096,7168,88,85,1351
72,4,128,32,8,1,32,7168,2048,46,83,1345
72,4,256,64,7,1,64,4096,7168,89,167,1349
72,4,256,64,8,1,64,7168,2048,46,161,1349
96,3,8,4,7,1,4,4096,7168,66,11,1345
96,3,8,4,8,1,4,7168,2048,32,11,1374
96,3,16,8,7,1,8,4096,7168,64,22,1374
96,3,16,8,8,1,8,7168,2048,33,21,1331
96,3,32,16,7,1,16,4096,7168,65,43,1361
96,3,32,16,8,1,16,7168,2048,34,42,1336
96,3,64,32,7,1,32,4096,7168,67,85,1350
